cluster_id,text,suggested_label,target,reason,self_consistency,fact_match,misweighted,hallucinated_context
bc310b05fdb8_s002,"The elevated volume of 570 web requests triggered the rule for overall activity volume exceeding peer distributions for BHD2088, though 570 web requests represents only a modest elevation above typical baseline levels.",Grounded,1.0,"The numeric value of 570 web requests accurately matches evidence fact F001, and no context facts are inappropriately cited as causal reasons for the anomaly.",0.9,1.0,0.0,1.0
29a8f8779242_s004,All 3 removable device connections logged by CMT0267 took place within standard working hours with 0 off-hours connections.,Grounded,1.0,The sentence correctly reflects the facts: 3 removable device connections in total (F002) and 0 removable device connections outside working hours (F003).,0.6,1.0,1.0,0.0
437dc4f119e2_s011,"In week 2010-W22, user DGE3194 recorded 10 visits to job-search sites, exceeding user DGE3194's typical baseline of 1 visit.",Not Grounded,0.0,"The sentence claims a typical baseline of 1 visit for user DGE3194, which is not supported by any of the provided facts.",0.1,1.0,0.0,1.0
85abeb011cb2_s019,This modest elevation to 570 web requests suggests minor fluctuation in the routine online workload of DBC3871.,Grounded,1.0,"The numeric claim of 570 web requests directly matches evidence fact F001, and no unsupported causal claims or hallucinated facts are present.",0.6,1.0,0.0,0.0
a7d5c6c8c59a_s013,"CJC1433 engaged in standard volumes for other events, logging 12 logon events and performing 16 file operations across 6 days of recorded activity.",Grounded,1.0,"All facts and numeric values in the sentence perfectly match the provided context facts (12 logon events, 16 file operations, and 6 days with recorded activity), and no invalid causal claims are made.",0.3,0.8,0.0,0.0
016f4a97452e_s006,"CKB0596 recorded 475 web requests and 2 removable device connections during week 2010-W32, which remained within CKB0596's typical ranges.",Grounded,1.0,"The sentence accurately reports 475 web requests and 2 removable device connections, matching context facts F003 and F004, without any false causal attributions or hallucinated numeric values.",0.3,1.0,1.0,1.0
8bf75eb8ddb7_s004,"This deviation appears minor, as CIY1654's file operations count of 14 represents a small absolute increase above baseline activity.",Grounded,1.0,"The numeric claim regarding file operations count of 14 perfectly matches evidence fact F001 (14.0), and no unsupported causal claims or hallucinated facts are present.",0.8,1.0,0.0,1.0
6bc75617a9a1_s007,The 12 visits to job-search sites made by CCD3168 also notably exceed the peer typical average of 1 visit across 194 peers in the same role.,Not Grounded,0.0,The claim regarding a peer typical average of 1 visit across 194 peers introduces numerical facts and peer comparisons not present in the provided evidence or context facts.,0.9,1.0,0.0,1.0
1e2ebf6a8744_s006,The observed volume of 665 web requests by ARW0818 suggests routine work-related browsing rather than anomalous behavior.,Grounded,1.0,"The sentence correctly references the 665 web requests found in the evidence facts, without introducing unsupported numbers or improper causal attributions.",0.2,1.0,0.0,0.0
4ea21e74210a_s017,"Non-anomalous background activity for user CMM0764 included 0 file operations, 0 removable device connections, and 13 logon events across 2 distinct workstations.",Grounded,1.0,All numerical values mentioned in the sentence perfectly match the provided context facts without any ungrounded causal claims.,0.1,1.0,0.0,0.0
aa48738bbf69_s010,"ADH0975 utilized 2 distinct workstations and connected to 38 distinct web domains, which falls within expected parameters for ADH0975.",Grounded,1.0,"The sentence accurately reflects the numerical values from the context facts, stating 2 distinct workstations (matching F005) and 38 distinct web domains (matching F004) without improper causal claims.",0.1,1.0,1.0,1.0
681e56bde9f1_s020,The isolated 17 visits to job-search sites by BNL1652 provide thin evidence of insider risk in the absence of suspicious file or cloud activity.,Grounded,1.0,"The numeric claim of 17 visits to job-search sites matches fact F001, and the sentence contains no unsupported causal claims or hallucinated figures.",0.5,1.0,0.0,0.0
f57e6631f4da_s006,CRL3842 logged on during hour 7 across 5 active days using 1 workstation during week 2010-W21.,Grounded,1.0,"All facts stated in the sentence (hour 7, 5 active days, 1 workstation) are directly supported by the context facts without any incorrect causal attributions or hallucinations.",0.4,1.0,1.0,0.0
9998e8a3297d_s016,The execution of 23 file operations by ARG0441 represents an isolated spike in an otherwise standard work week.,Grounded,1.0,"The numeric claim of 23 file operations directly matches evidence fact F001, and there are no causal violations or hallucinated numbers.",0.2,1.0,0.0,0.0
4e020fc6b926_s008,User ABK3081 accessed 67 distinct web domains across 5 days with recorded activity during week 2010-W13.,Grounded,1.0,"The sentence accurately reflects the context facts: 67 distinct web domains visited and 5 days with recorded activity, with no conflicting causal claims.",0.4,1.0,1.0,0.0
aa57cd98df34_s007,AKK2125 also recorded 0 removable device connections and 1 file operation during week 2010-W28.,Grounded,1.0,The sentence accurately reflects the numerical facts provided in F003 (1 file operation) and F004 (0 removable device connections) with no causal misattribution.,0.6,1.0,1.0,0.0
e5c19b0b6b83_s016,The observed increase to 700 web requests by user BZB3532 is modest and represents a minor deviation from baseline norms.,Grounded,1.0,"The numeric claim of 700 web requests accurately matches evidence fact F001, and no unsupported causal links are made.",0.5,1.0,0.0,1.0
1f6f7bde919e_s007,Detection rule R5 flagged user AAS3428 during week 2010-W15 specifically because user AAS3428 executed 8 file operations against an individual typical baseline of 2.,Not Grounded,0.0,The sentence introduces an ungrounded baseline value of 2 that is not supported by any of the provided evidence or context facts.,0.4,1.0,0.0,1.0
60a439c6595a_s007,User BLL3585 accessed systems from 1 distinct workstation with the hour of earliest logon at 7 and the hour of latest logon at 13.,Grounded,1.0,All facts and numbers mentioned in the sentence perfectly match the provided context facts without any causal misattributions.,0.1,1.0,1.0,0.0
4707ea080765_s004,"ALC1060 maintained normal baseline behavior across 79 distinct web domains visited, 17 distinct workstations used, and 5 days with recorded activity.",Grounded,1.0,"All numbers (79 distinct web domains visited, 17 distinct workstations used, and 5 days with recorded activity) accurately reflect the provided context facts with no unsupported causal assertions.",0.4,0.8,0.0,1.0
0bb863ab781f_s013,User CMM0764 maintained expected operational patterns with 7 days of recorded activity and earliest logon hour of 8 during week 2010-W12.,Grounded,1.0,"The sentence references 7 days of recorded activity and an earliest logon hour of 8, which perfectly match facts F006 and F007 without any unsupported causal claims.",0.4,1.0,1.0,1.0
ac00b093ad74_s012,BAR3420 conducted work across 5 days with recorded activity using 1 distinct workstation in week 2010-W35.,Grounded,1.0,"The sentence accurately reflects the numerical facts provided: 5 days with recorded activity matches F006 (5.0) and 1 distinct workstation matches F005 (1.0), with no unsupported causal claims.",0.3,0.75,1.0,0.0
b597112e761e_s005,"CSB1660 accessed 1 distinct workstation and logged 810 web requests during week 2011-W12, matching CSB1660's typical weekly web usage of 810 requests.",Not Grounded,0.0,"The sentence claims that 810 web requests match the user's typical weekly web usage of 810 requests, but there is no evidence or context fact provided about typical or historical weekly web usage.",0.4,1.0,1.0,1.0
3a98207bc70a_s010,"The evidence for APS3553 is limited strictly to job browsing, as APS3553 recorded 0 visits to leak-publication sites during week 2011-W16.",Not Grounded,0.0,"The sentence introduces ungrounded details such as the user ID 'APS3553' and the timeframe 'week 2011-W16', which are not present in the provided facts.",0.1,0.6,1.0,0.0
ae78359274de_s009,"Aside from web traffic, user CJC1433 showed completely regular activity, including logging in 12 times across 6 days.",Grounded,1.0,"The sentence accurately reflects the numerical facts provided, correctly stating 12 logon events across 6 days of recorded activity without any unsupported causal claims.",0.2,0.75,0.0,0.0
c4e015dc8ff7_s005,The primary driver for the alert is CKR2586's elevated job-search web activity.,Grounded,1.0,"The sentence correctly attributes the alert to the anomalous job-search activity (F001, the only evidence fact) without hallucinating metrics or misattributing causes to context facts.",1.0,0.5,0.0,0.0
2be9bc4e1e2f_s004,The total volume of 7 job-search visits suggests casual external employment research by ATT1191 rather than malicious activity.,Grounded,1.0,The sentence accurately cites the 7 job-search site visits from the evidence facts without introducing ungrounded causal claims or incorrect numbers.,1.0,1.0,0.0,0.0
689aafe105ea_s019,"BBH1056 recorded 0 logons at the weekend, with logon hours ranging from an earliest logon at hour 0 to a latest logon at hour 23.",Grounded,1.0,"The sentence accurately reflects the numerical facts provided: 0 logons at the weekend (F003), earliest logon at hour 0 (F006), and latest logon at hour 23 (F007), with no unsupported causal claims.",0.2,0.8,1.0,0.0
45d717e6fb38_s010,"ARJ0912 used 1 workstation and visited 86 distinct web domains during week 2010-W13, keeping overall activity within normal operational ranges for ARJ0912.",Grounded,1.0,"The numbers 1 workstation and 86 distinct web domains directly correspond to the context facts F005 and F004, with no ungrounded causal claims.",0.2,1.0,1.0,1.0
4ea21e74210a_s002,"Other activity metrics for user CMM0764 remained within normal parameters, including 13 logon events across 2 distinct workstations and 0 removable device connections.",Grounded,1.0,"All numerical metrics mentioned in the sentence (13 logon events, 2 distinct workstations, and 0 removable device connections) exactly match the provided context facts with no causal misattributions.",0.4,1.0,0.0,1.0
c4c41e96a24b_s007,"All 5 logon events for DBG3727 occurred during 5 days with recorded activity from 1 distinct workstation, with the earliest logon at hour 6 and the latest logon at hour 7.",Grounded,1.0,"All numerical statements in the sentence match the provided facts exactly, and there are no unsupported causal assertions.",0.1,0.8571428571428571,0.0,0.0
9b0b02dcdb15_s009,User COW3840 also recorded 0 visits to cloud-storage sites during week 2010-W33.,Grounded,1.0,The sentence accurately reflects the context fact (F003) indicating 0 visits to cloud-storage sites without any unsupported causal claims or numerical discrepancies.,0.9,1.0,0.0,0.0
1419196de13d_s010,"Given that user AHD2457 only showed an increase in job-search site visits, the security risk presented by user AHD2457 during week 2010-W43 appears minor.",Grounded,1.0,"The sentence accurately reflects that the only observed anomalous activity among the provided evidence facts is visits to job-search sites, with no hallucinated numbers or improper causal claims.",0.6,1.0,0.0,0.0
5cc2c37b8587_s011,"BXT2678 operated entirely from 1 workstation with logons between hour 7 and hour 13 across 5 active days, matching the peer range across 101 peers in the same role.",Not Grounded,0.0,"The claim regarding matching the peer range across 101 peers in the same role contains an unsupported numeric fact (101 peers), which is not present in the provided context or evidence facts.",0.1,1.0,1.0,1.0
17d7decf45c0_s013,"CJH3136 accessed 80 distinct web domains across 5 days on 1 workstation, with an earliest logon at hour 7 and a latest logon at hour 13.",Grounded,1.0,"All facts and numbers mentioned in the sentence (80 distinct web domains, 5 days, 1 workstation, earliest logon at hour 7, latest logon at hour 13) strictly match the provided evidence and context facts without introducing hallucinated causal claims.",0.1,0.8571428571428571,1.0,0.0
6db634d2bd7b_s002,User ANC1950 accessed 50 distinct web domains across 6 days of recorded activity using 1 workstation during week 2010-W34.,Grounded,1.0,"All numeric values in the sentence (50 distinct web domains, 6 days of recorded activity, 1 workstation) perfectly match the provided context facts F004, F006, and F005, with no unwarranted causal claims.",0.8,0.8,1.0,0.0
e09ff307ad87_s002,"ANC1950 recorded standard baseline activity elsewhere, including 27 file operations and 1 removable device connection.",Grounded,1.0,"The numeric values mentioned (27 file operations and 1 removable device connection) perfectly match the context facts F003 and F004, and no unsupported causal links are made.",0.7,0.75,0.0,1.0
0f100b8ccd02_s005,The volume of 44 job-search site visits by BCB0909 also significantly exceeded the peer typical value of 5.50 visits observed across 328 peers.,Not Grounded,0.0,"The sentence includes numeric claims regarding a peer typical value of 5.50 visits and a peer group of 328 peers, neither of which are provided in the evidence or context facts.",1.0,1.0,0.0,1.0
f967d15743fe_s014,This alert for DBC3871 represents a minor volume increase in web requests rather than suspicious activity by DBC3871.,Grounded,1.0,The sentence makes no numeric claims and contains no improper causal attribution linking context facts to evidence facts.,0.9,0.5,0.0,0.0
68cd5af21fa6_s014,"Given that the only unusual metric is the 41 job-search visits by user BCS1604, the evidence for severe threat activity is thin.",Grounded,1.0,The sentence correctly references the single anomalous metric of 41 job-search visits from the evidence facts without hallucinating any values or establishing false causal links.,0.6,1.0,0.0,0.0
fe495051215f_s014,BBM2604 conducted all logon events between the earliest logon hour of 7 and the latest logon hour of 13 during week 2011-W15.,Grounded,1.0,The sentence accurately reflects the earliest logon hour of 7 and latest logon hour of 13 from the provided facts without introducing ungrounded causal claims.,0.2,0.75,1.0,0.0
a69225b02dbc_s004,"User DBC3871 maintained normal background metrics during week 2010-W48, including 20 removable device connections and activity spanning 6 days.",Grounded,1.0,"The sentence mentions 20 removable device connections and activity spanning 6 days, both of which precisely match context facts F004 and F006 without any unsupported causal claims.",0.2,1.0,0.0,1.0
6372448d7e05_s005,"User CSL0428 conducted 0 visits to leak-publication sites and recorded 2 visits to cloud-storage sites, matching the expected typical baselines for user CSL0428.",Grounded,1.0,"The sentence accurately cites 0 visits to leak-publication sites and 2 visits to cloud-storage sites directly from context facts F002 and F003, with no causal misattributions or ungrounded numeric claims.",0.4,1.0,1.0,1.0
2bfa8b3cc11e_s012,"Other baseline indicators for CIY1654, including 5 removable device connections and 765 web requests over 5 days, remained within typical bounds.",Grounded,1.0,"All numbers in the sentence (5 removable device connections, 765 web requests, and 5 days of activity) match the provided context facts with no causal misattribution.",0.2,1.0,0.0,1.0
35dae485c187_s003,User AAG1447 recorded 0 visits to leak-publication sites and 0 visits to cloud-storage sites during week 2010-W27.,Grounded,1.0,"The sentence correctly states that there were 0 visits to leak-publication sites and 0 visits to cloud-storage sites, fully matching facts F002 and F003 with no ungrounded causal claims.",1.0,1.0,1.0,0.0
3ff272d2c2bd_s007,User ABM3203 recorded 0 visits to leak-publication sites compared to user ABM3203's typical baseline of 0 visits.,Not Grounded,0.0,The claim regarding a typical baseline of 0 visits to leak-publication sites is not supported by the provided facts.,0.1,0.6666666666666666,1.0,1.0
f79d9cadf51d_s008,"Additional background metrics for user BLB1876 during week 2010-W15 were within normal personal ranges, including 570 web requests, 13 logon events, and 10 removable device connections across 6 days of activity.",Grounded,1.0,"All facts and numbers mentioned in the sentence (570 web requests, 13 logon events, 10 removable device connections, 6 days of activity) match the context facts precisely with no unsupported causal claims.",0.1,1.0,0.0,1.0
09e47903a579_s006,User BRJ2151 engaged in normal routine browsing by visiting 64 distinct web domains and 0 leak-publication sites.,Grounded,1.0,"The sentence accurately reflects the numerical values in the facts: 64 distinct web domains visited (F004) and 0 visits to leak-publication sites (F002), without making invalid causal attributions.",0.2,1.0,1.0,1.0
6aec0889383e_s004,"User CMT0267 performed 74 total file operations in week 2010-W21 against an individual typical of 30.50 and a peer typical of 1 across 79 peers, serving as the primary driver for detection.",Not Grounded,0.0,"The sentence contains numerical claims (individual typical of 30.50, peer typical of 1, and 79 peers) that do not appear anywhere in the provided facts.",0.4,0.8333333333333334,1.0,1.0
b774bee9f9af_s004,ASS0280 accessed 47 distinct web domains from 1 workstation across 5 active days during week 2010-W32.,Grounded,1.0,"All numbers cited in the sentence (47 distinct web domains, 1 workstation, and 5 active days) perfectly match the values in the provided facts.",0.6,0.8,1.0,0.0
bb51c7cb5508_s016,"DBC3871 showed unexceptional logon behavior during week 2010-W20, logging 12 logon events with the earliest logon at hour 7 and latest logon at hour 13.",Grounded,1.0,"All numeric values in the sentence (12 logon events, earliest logon at hour 7, and latest logon at hour 13) accurately match the context facts without hallucination or invalid causal claims.",0.1,1.0,0.0,0.0
9fdb2780799d_s003,BNL1652 recorded 0 visits to leak-publication sites and 0 visits to cloud-storage sites during week 2010-W13.,Grounded,1.0,The sentence accurately reflects the numerical values in F002 (0 visits to leak-publication sites) and F003 (0 visits to cloud-storage sites) without making any unsupported causal claims.,0.9,1.0,1.0,0.0
b7db8d1dd215_s012,DAH2506 also exceeded the peer typical level of 1 visit to job-search sites established by 194 peers in the same role.,Not Grounded,0.0,The sentence introduces numerical values and peer comparison claims (a peer typical level of 1 visit and a group of 194 peers) that do not exist in the provided facts.,0.4,0.75,0.0,1.0
71959c18b200_s004,"AKG2702 generated 30 visits to job-search sites during week 2010-W39, exceeding the personal typical baseline of 13 visits for AKG2702.",Not Grounded,0.0,"The sentence states a personal typical baseline of 13 visits, but the value 13.0 in the context facts corresponds to the hour of latest logon in the week, making the baseline claim unsupported by the facts.",0.9,0.6666666666666666,0.0,1.0
93935ab1b5e7_s001,"During week 2010-W52, DDH1041 triggered rule R5 because DDH1041 performed 11 file operations, exceeding the typical baseline of 3.50 file operations for DDH1041 and the typical baseline of 1 file operation across 91 same-role peers.",Not Grounded,0.0,"The sentence mentions baseline figures of 3.50 file operations for DDH1041, 1 file operation across peers, and a peer count of 91, none of which exist in the provided facts.",1.0,1.0,0.0,1.0
817d4fc86d6a_s022,"The evidence supporting this alert against user BNH3516 is relatively slight, pointing to normal daytime activity involving 26 files copied to removable media.",Grounded,1.0,"The sentence correctly states that 26 files were copied to removable media, which accurately matches the value in fact F001, and mentions normal daytime activity which is supported by context facts without violating any rules.",0.5,0.6666666666666666,1.0,1.0
6e3fcf2ac8c7_s007,"Because user CAR2900 showed no other abnormal indicators, the 29 job-search site visits by user CAR2900 appear to be an isolated browsing anomaly.",Grounded,1.0,"The numeric claim of 29 job-search site visits accurately reflects fact F001, and the sentence does not falsely attribute causation of an anomaly to context facts.",0.1,0.6,0.0,0.0
c657eabd952d_s007,The evidence of malicious activity is thin because DCC2999 recorded 0 logons at the weekend and maintained normal active day counts.,Grounded,1.0,"The claim of 0 logons at the weekend directly aligns with fact F003 (0.0), and the description is consistent with the provided context facts without any invalid causal linkages.",0.7,1.0,1.0,1.0
b7ae7039c79a_s009,"The primary concern flagged for BHM0430 is the 35 visits to job-search sites, which may suggest personal employment seeking during working hours.",Grounded,1.0,"The numeric claim of 35 visits to job-search sites perfectly matches the evidence fact F001 without any false precision, hallucinated numbers, or invalid causal claims.",0.3,1.0,0.0,0.0
281149133a3f_s010,CNH3475 logged on between hour 8 and hour 16 across 5 days with recorded activity and 3 distinct workstations in week 2010-W11.,Grounded,1.0,"All numerical statements (hour 8, hour 16, 5 days with recorded activity, 3 distinct workstations) perfectly match the corresponding context facts without introducing unsupported causal claims.",0.1,1.0,1.0,0.0
4c75aa00f08b_s013,The single anomalous metric of 22 job-search site visits makes the overall security concern for BRJ2151 appear relatively minor.,Grounded,1.0,The sentence accurately references the single anomalous metric of 22 job-search site visits from the evidence facts without hallucinating any values or establishing unsupported causal links.,0.4,1.0,0.0,0.0
a65bb04bc3e8_s014,User AGL1301 demonstrated typical behavior across other areas during week 2011-W17 by logging 475 web requests and using 1 distinct workstation between earliest logon hour 7 and latest logon hour 13.,Grounded,1.0,"All numerical values mentioned in the sentence (475 web requests, 1 distinct workstation, earliest logon hour 7, and latest logon hour 13) accurately reflect the provided context facts without any ungrounded causal claims.",0.1,1.0,0.0,1.0
c053914f0d88_s002,"User ABH0349 connected removable devices 2 times during standard working hours, recording 0 removable device connections outside working hours.",Grounded,1.0,"The numbers given for removable device connections during standard working hours (2 total minus 0 outside working hours = 2) and outside working hours (0) fully align with facts F002 and F003, with no invalid causal assertions.",0.6,1.0,1.0,0.0
b0794bf7c212_s011,"Contextually, DCW2405 recorded 4 visits to cloud-storage sites and 0 removable device connections during week 2011-W08.",Grounded,1.0,"The sentence states 4 visits to cloud-storage sites and 0 removable device connections, which match F004 and F008 perfectly with no improper causal claims.",0.2,0.75,0.0,0.0
0901f1444f44_s001,"During the week of 2010-W20, user CKH0799 generated 47 visits to job-search sites, exceeding user CKH0799's recent typical baseline of 13.50 visits and the peer typical value of 6 visits across 366 peers.",Not Grounded,0.0,"The sentence introduces numerical claims regarding a recent typical baseline of 13.50 visits and a peer typical value of 6 visits across 366 peers, which are not present in the provided facts.",1.0,1.0,0.0,1.0
638c06ce15c4_s014,The evidence of 17 visits to job-search sites by ARB0208 suggests limited personal career browsing while overall activity remained within standard parameters.,Grounded,1.0,The sentence accurately reports the 17 visits to job-search sites from the evidence facts without introducing unsupported numeric claims or invalid causal relationships.,0.1,1.0,0.0,0.0
70bf09a9eb61_s012,User ABK3081 demonstrated standard operational activity across 5 active days with logons occurring between hour 6 and hour 13 during week 2010-W12.,Grounded,1.0,"The sentence accurately reflects the numerical facts provided: 5 active days, hour 6 as the earliest logon, and hour 13 as the latest logon, with no unsupported causal claims.",0.1,0.8,0.0,0.0
c494232cca06_s012,Additional context shows AGS2462 visited 89 distinct web domains and logged in at hour 9 across 5 days with recorded activity.,Grounded,1.0,"All facts in the sentence (89 distinct web domains, hour 9 logon, 5 days with activity) match the context facts accurately without improper causal claims.",0.2,0.8,0.0,0.0
43a589c8cb52_s008,"ALD3508 typically records 13.50 visits to job-search sites, while peers of ALD3508 average 3.50 visits across 86 peers in the same role.",Not Grounded,0.0,"The sentence includes numeric claims (13.50 visits, 3.50 average visits, and 86 peers) that are not present in the provided evidence or context facts.",1.0,1.0,0.0,1.0
3a0053d76e75_s002,"User CRL3842 typically logs 1 visit to job-search sites, and peers across 80 individuals in the same role typically log 2 visits.",Not Grounded,0.0,"The sentence introduces ungrounded numbers (1 visit, 80 individuals, 2 visits) that do not appear in the provided facts, and contradicts the evidence fact stating 19.0 visits to job-search sites.",0.5,0.8,0.0,1.0
bbebef36582a_s018,"CAR0992 recorded 39 file operations across 2 distinct workstations during week 2010-W49, matching the typical baselines of 32 file operations and 2 distinct workstations for CAR0992.",Not Grounded,0.0,"The sentence mentions a baseline of '32 file operations', which is not supported by any of the provided evidence or context facts.",0.1,1.0,1.0,1.0
86b54578c1e1_s015,BBM1701 logged activity across 5 days with recorded activity and visited 41 distinct web domains during standard hours with earliest and latest logons at hour 7.,Grounded,1.0,"All facts stated in the sentence (5 days with recorded activity, 41 distinct web domains visited, earliest logon at hour 7, latest logon at hour 7) accurately reflect the provided context facts with no causal misattributions.",0.1,0.8,1.0,0.0
b4ce2baa3e04_s010,"Other activity for user AFB3228 remained within typical ranges during week 2010-W42, including 0 weekend logons and 0 visits to leak-publication sites.",Grounded,1.0,"The sentence accurately reports 0 weekend logons and 0 visits to leak-publication sites, which match facts F004 and F006 perfectly, without any improper causal language or hallucinated numbers.",0.2,1.0,0.0,1.0
05613bca0651_s002,User CBA1023 engaged in 0 visits to leak-publication sites and 0 visits to cloud-storage sites during week 2010-W41.,Grounded,1.0,"The sentence mentions 0 visits to leak-publication sites and 0 visits to cloud-storage sites, which directly match F002 and F003 without unsupported causal links.",1.0,1.0,1.0,0.0
6179299e51c0_s009,"AAS3428 executed 7 file operations during week 2010-W38, which rose above AAS3428's typical 1 file operation.",Not Grounded,0.0,"The sentence claims AAS3428 typically has 1 file operation, but there is no evidence or context fact providing a baseline or typical value of 1.",1.0,1.0,0.0,1.0
7abe4601702a_s018,"During the 5 active days of week 2010-W42, CGC1132 logged on from 1 workstation at hour 8 and browsed 83 distinct web domains.",Grounded,1.0,"All numeric values in the sentence (5 active days, 1 workstation, hour 8 for logon, and 83 distinct web domains) directly and accurately match the provided evidence and context facts without introducing unsupported causal claims.",0.1,1.0,0.0,0.0
b847b370b7b3_s002,"The evidence for this alert is relatively thin, as 700 web requests represents only a modest elevation above BZB3532's own typical level of 600 web requests.",Not Grounded,0.0,"The sentence mentions a typical level of 600 web requests, which is not present in the provided facts.",0.9,1.0,0.0,1.0
59e7fa586cfe_s001,"During week 2010-W42, user ABM3203 generated 47 visits to job-search sites, which is the primary factor for this alert compared to the recent typical baseline of 19 visits for user ABM3203 and the peer typical of 4 visits across 268 peers.",Not Grounded,0.0,"The sentence references baseline values of 19 visits and peer typical values of 4 visits across 268 peers, none of which exist in the provided facts.",1.0,0.8571428571428571,0.0,1.0
29c48627dee3_s004,AZA1012 used 1 workstation and logged on between hour 7 and hour 12 during week 2010-W07.,Grounded,1.0,"All numerical claims in the sentence (1 workstation, hour 7 for earliest logon, hour 12 for latest logon) accurately match the context facts without hallucinated numbers or invalid causal assertions.",0.8,0.8,1.0,0.0
a6961bf97cf5_s015,BFD1111 conducted 21 job-search site visits during a week where BFD1111 recorded 3 days with recorded activity and visited 56 distinct web domains.,Grounded,1.0,All numerical values and descriptions directly correspond to the provided evidence and context facts without introducing unsupported causal claims or hallucinated details.,0.1,0.7142857142857143,0.0,0.0
