cluster_id,label
48ccda2c802b_s006,grounded
48ccda2c802b_s007,grounded
48ccda2c802b_s008,grounded
48ccda2c802b_s010,unverifiable
526ddf572cfc_s002,grounded
526ddf572cfc_s003,grounded
526ddf572cfc_s005,grounded
526ddf572cfc_s001,grounded
526ddf572cfc_s006,unverifiable
526ddf572cfc_s007,grounded
526ddf572cfc_s004,grounded
526ddf572cfc_s008,grounded
526ddf572cfc_s009,grounded
526ddf572cfc_s010,grounded
526ddf572cfc_s011,false precision
52f79a38344c_s004,grounded
52f79a38344c_s008,grounded
52f79a38344c_s003,grounded
52f79a38344c_s005,grounded
52f79a38344c_s009,grounded
52f79a38344c_s002,grounded
52f79a38344c_s006,grounded
52f79a38344c_s010,unverifiable
52f79a38344c_s001,grounded
52f79a38344c_s007,unverifiable
52f79a38344c_s011,unverifiable
52f79a38344c_s012,unverifiable
5b1286600124_s002,grounded
5b1286600124_s006,grounded
5b1286600124_s001,grounded
5b1286600124_s004,grounded
5b1286600124_s003,grounded
5b1286600124_s005,unverifiable
5b1286600124_s007,unverifiable
5b1286600124_s008,grounded
5d9d3528183f_s002,grounded
5d9d3528183f_s004,grounded
5d9d3528183f_s005,unverifiable
5d9d3528183f_s006,grounded
5d9d3528183f_s001,grounded
5d9d3528183f_s003,unverifiable
5d9d3528183f_s007,unverifiable
5d9d3528183f_s008,grounded
5d9d3528183f_s009,grounded
5d9d3528183f_s010,unverifiable
5f308467e73e_s002,grounded
5f308467e73e_s001,grounded
5f308467e73e_s005,grounded
5f308467e73e_s003,grounded
5f308467e73e_s006,grounded
5f308467e73e_s004,grounded
5f308467e73e_s007,unverifiable
5f308467e73e_s008,grounded
5f308467e73e_s009,unverifiable
5f308467e73e_s010,unverifiable
6835f13449d4_s006,grounded
6835f13449d4_s003,grounded
6835f13449d4_s004,grounded
6835f13449d4_s005,grounded
6835f13449d4_s002,grounded
6835f13449d4_s001,grounded
6835f13449d4_s007,grounded
6835f13449d4_s008,grounded
7038b42bbdd3_s005,grounded
7038b42bbdd3_s004,grounded
7038b42bbdd3_s007,grounded
7038b42bbdd3_s001,grounded
7038b42bbdd3_s002,grounded
7038b42bbdd3_s011,grounded
7038b42bbdd3_s003,grounded
7038b42bbdd3_s006,unverifiable
7038b42bbdd3_s008,grounded
7038b42bbdd3_s009,hallucinated
7038b42bbdd3_s010,grounded
74f0c0c2563f_s002,grounded
74f0c0c2563f_s001,grounded
74f0c0c2563f_s003,unverifiable
74f0c0c2563f_s006,grounded
74f0c0c2563f_s005,grounded
74f0c0c2563f_s011,grounded
74f0c0c2563f_s004,grounded
74f0c0c2563f_s007,grounded
74f0c0c2563f_s008,grounded
74f0c0c2563f_s009,grounded
74f0c0c2563f_s010,unverifiable
74f0c0c2563f_s012,grounded
843e5a247adc_s001,grounded
843e5a247adc_s003,grounded
843e5a247adc_s002,grounded
843e5a247adc_s004,grounded
843e5a247adc_s005,unverifiable
843e5a247adc_s006,grounded
874688ab1be5_s002,grounded
874688ab1be5_s001,grounded
874688ab1be5_s006,grounded
874688ab1be5_s009,grounded
874688ab1be5_s007,grounded
874688ab1be5_s010,unverifiable
874688ab1be5_s003,unverifiable
874688ab1be5_s004,grounded
874688ab1be5_s005,unverifiable
874688ab1be5_s008,unverifiable
874688ab1be5_s011,grounded
941dd43f9d67_s002,grounded
941dd43f9d67_s003,unverifiable
941dd43f9d67_s005,grounded
941dd43f9d67_s001,grounded
941dd43f9d67_s004,grounded
941dd43f9d67_s006,unverifiable
941dd43f9d67_s007,grounded
9a5aa28e85ec_s005,grounded
9a5aa28e85ec_s003,grounded
9a5aa28e85ec_s001,grounded
9a5aa28e85ec_s004,grounded
9a5aa28e85ec_s002,grounded
9a5aa28e85ec_s007,grounded
9a5aa28e85ec_s008,unverifiable
9a5aa28e85ec_s006,grounded
9a5aa28e85ec_s009,grounded
9a5aa28e85ec_s010,grounded
9a5aa28e85ec_s011,grounded
9e7528d4c218_s002,grounded
9e7528d4c218_s004,grounded
9e7528d4c218_s005,grounded
9e7528d4c218_s001,grounded
9e7528d4c218_s006,grounded
9e7528d4c218_s007,grounded
9e7528d4c218_s003,grounded
9e7528d4c218_s008,grounded
9e7528d4c218_s009,grounded
a1aae4e9b549_s004,grounded
a1aae4e9b549_s005,grounded
a1aae4e9b549_s003,grounded
a1aae4e9b549_s010,grounded
a1aae4e9b549_s001,grounded
a1aae4e9b549_s002,grounded
a1aae4e9b549_s006,grounded
a1aae4e9b549_s007,grounded
a1aae4e9b549_s008,grounded
a1aae4e9b549_s009,grounded
a1aae4e9b549_s011,unverifiable
b4f39388a7a0_s003,grounded
b4f39388a7a0_s005,grounded
b4f39388a7a0_s001,grounded
b4f39388a7a0_s006,grounded
b4f39388a7a0_s004,grounded
b4f39388a7a0_s007,unverifiable
b4f39388a7a0_s002,grounded
b4f39388a7a0_s008,grounded
b4f39388a7a0_s009,unverifiable
b9e7099f24fa_s002,grounded
b9e7099f24fa_s005,grounded
b9e7099f24fa_s001,grounded
b9e7099f24fa_s006,grounded
b9e7099f24fa_s008,unverifiable
b9e7099f24fa_s009,grounded
b9e7099f24fa_s003,unverifiable
b9e7099f24fa_s004,grounded
b9e7099f24fa_s007,grounded
b9e7099f24fa_s010,unverifiable
be4b111f295f_s004,grounded
be4b111f295f_s002,grounded
be4b111f295f_s003,unverifiable
be4b111f295f_s001,grounded
be4b111f295f_s005,grounded
be4b111f295f_s006,grounded
be4b111f295f_s007,grounded
be4b111f295f_s008,grounded
be4b111f295f_s009,grounded
bf68adebc0ca_s003,grounded
bf68adebc0ca_s002,grounded
bf68adebc0ca_s007,grounded
bf68adebc0ca_s005,grounded
bf68adebc0ca_s006,unverifiable
bf68adebc0ca_s001,grounded
bf68adebc0ca_s004,grounded
bf68adebc0ca_s008,grounded
bf68adebc0ca_s009,grounded
bf68adebc0ca_s010,unverifiable
c6ae0ce16aa6_s003,grounded
c6ae0ce16aa6_s001,grounded
c6ae0ce16aa6_s009,grounded
c6ae0ce16aa6_s006,grounded
c6ae0ce16aa6_s007,grounded
c6ae0ce16aa6_s008,grounded
c6ae0ce16aa6_s002,grounded
c6ae0ce16aa6_s004,grounded
c6ae0ce16aa6_s005,grounded
c7e9d3db5886_s002,grounded
c7e9d3db5886_s001,grounded
c7e9d3db5886_s003,grounded
c7e9d3db5886_s005,grounded
c7e9d3db5886_s010,grounded
c7e9d3db5886_s011,grounded
c7e9d3db5886_s004,grounded
c7e9d3db5886_s006,grounded
c7e9d3db5886_s007,grounded
c7e9d3db5886_s008,grounded
c7e9d3db5886_s009,grounded
c87a3d6bb4f3_s002,grounded
c87a3d6bb4f3_s001,grounded
c87a3d6bb4f3_s006,grounded
c87a3d6bb4f3_s004,grounded
c87a3d6bb4f3_s007,grounded
c87a3d6bb4f3_s010,grounded
c87a3d6bb4f3_s003,grounded
c87a3d6bb4f3_s005,grounded
c87a3d6bb4f3_s008,unverifiable
c87a3d6bb4f3_s009,grounded
e5f2a202649e_s002,grounded
e5f2a202649e_s004,grounded
e5f2a202649e_s005,grounded
e5f2a202649e_s001,grounded
e5f2a202649e_s006,unverifiable
e5f2a202649e_s007,grounded
e5f2a202649e_s003,unverifiable
e7456bfb955d_s002,grounded
e7456bfb955d_s007,grounded
e7456bfb955d_s008,unverifiable
e7456bfb955d_s004,grounded
e7456bfb955d_s005,grounded
e7456bfb955d_s009,grounded
e7456bfb955d_s001,grounded
e7456bfb955d_s003,grounded
e7456bfb955d_s006,unverifiable
e7456bfb955d_s010,grounded
e7da66637628_s003,grounded
e7da66637628_s002,grounded
e7da66637628_s004,grounded
e7da66637628_s006,grounded
e7da66637628_s005,grounded
e7da66637628_s001,grounded
e7da66637628_s007,unverifiable
e7da66637628_s008,grounded
f2ab39778d78_s002,grounded
f2ab39778d78_s001,grounded
f2ab39778d78_s003,grounded
f2ab39778d78_s004,unverifiable
f2ab39778d78_s005,grounded
f2ab39778d78_s006,unverifiable
f2ab39778d78_s007,grounded
f2ab39778d78_s008,grounded
fbeada0bdaed_s004,grounded
fbeada0bdaed_s001,grounded
fbeada0bdaed_s002,grounded
fbeada0bdaed_s005,grounded
fbeada0bdaed_s003,unverifiable
fbeada0bdaed_s006,unverifiable
fbeada0bdaed_s007,unverifiable
fbeada0bdaed_s008,grounded
fbeada0bdaed_s009,grounded
fd27f4a6bc44_s001,grounded
fd27f4a6bc44_s002,grounded
fd27f4a6bc44_s004,grounded
fd27f4a6bc44_s003,grounded
fd27f4a6bc44_s005,unverifiable
fd27f4a6bc44_s006,grounded
fd27f4a6bc44_s007,grounded
fd27f4a6bc44_s008,unverifiable
ff6998ce0b84_s001,grounded
ff6998ce0b84_s004,grounded
ff6998ce0b84_s005,grounded
ff6998ce0b84_s007,grounded
ff6998ce0b84_s002,grounded
ff6998ce0b84_s003,unverifiable
ff6998ce0b84_s006,grounded
