cluster_id,signal_id,user,period,malicious,rules,n_samples,n_variants,representative_text,evidence_facts,context_facts,suggested_label,suggested_rationale,suggestion_conflict,label,notes
06ffa8b234ef_s011,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,The UEBA system detected two anomalies that triggered rules: an elevated number of files copied to removable media and browsing to job-search or leak-publication sites atypical for her role.,F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"Main clause asserts evidence fact (F001, F002) and all numbers trace to facts[]. Rule 1 fired.",,grounded,
06ffa8b234ef_s012,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,"This week, PJC1252's (Pamela Julie Case) behavior was flagged due to elevated file copying to removable media and atypical browsing to job-search and leak-publication sites.",F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
06ffa8b234ef_s013,06ffa8b234ef,PJC1252,2010-W12,no,"R2,R4",1,1,This is the primary driver for the detection.,F001 files copied to removable media=15 [own~1 max12] ; F002 visits to job-search sites=12 [own~0 max52] [peer~1 n85],F003 removable device connections=6 [own~1.50 max4] ; F004 removable device connections outside working hours=0 [own~0 max0] ; F005 file operations=32 [own~8 max25] ; F006 visits to leak-publication sites=0 [own~0 max0] ; F007 visits to cloud-storage sites=17 [own~13 max38] [peer~1 n85] ; F008 distinct web domains visited=85 [own~72.50 max87] [peer~75 n85] ; F009 distinct workstations used=2 [own~1 max3] [peer~1 n85] ; F010 days with recorded activity=7 [own~6 max7] [peer~5 n85] ; F011 hour of earliest logon in the week=0 ; F012 hour of latest logon in the week=16,misweighted,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s003,0ec64e3f86ed,SCH3858,2010-W09,no,R4,9,9,"The evidence suggests that SCH3858 visited job-search sites 45 times, which is significantly above their usual range of 27.50 and far above the range of their peers in the same role (1).",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s002,0ec64e3f86ed,SCH3858,2010-W09,no,R4,5,5,"This week's activity for SCH3858, a Security Guard, has triggered detection rule R4 due to atypical browsing behavior.",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"Main clause uses causal language and cites context-only fact (F006), not an evidence fact. Rule 4 fired.",,grounded,
0ec64e3f86ed_s001,0ec64e3f86ed,SCH3858,2010-W09,no,R4,4,4,"The UEBA system flagged this week for Sebastian Cooper Hoffman due to atypical browsing behavior, specifically visiting job-search sites 45 times, which is significantly above their usual range of 27.50 and far above the range of same-role peers this week.",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s008,0ec64e3f86ed,SCH3858,2010-W09,no,R4,2,2,This suggests that Sebastian Cooper Hoffman may be looking for a new job or considering a career change.,F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,unverifiable,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
0ec64e3f86ed_s009,0ec64e3f86ed,SCH3858,2010-W09,no,R4,2,2,"This suggests that he may be searching for new job opportunities or exploring alternative career paths, which is unusual for someone in his role.",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,unverifiable,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
0ec64e3f86ed_s004,0ec64e3f86ed,SCH3858,2010-W09,no,R4,1,1,This anomaly is the primary reason for the week being flagged.,F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s005,0ec64e3f86ed,SCH3858,2010-W09,no,R4,1,1,This increase in job-search site visits is the primary reason for the triggered rule.,F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s006,0ec64e3f86ed,SCH3858,2010-W09,no,R4,1,1,This unusual behavior is the main reason for the triggered detection rules.,F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s007,0ec64e3f86ed,SCH3858,2010-W09,no,R4,1,1,"This is also far above the range of their peers in the same role, who averaged 1 visit this week.",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
0ec64e3f86ed_s010,0ec64e3f86ed,SCH3858,2010-W09,no,R4,1,1,"This week, Sebastian Cooper Hoffman's browsing behavior is anomalous for his role as a Security Guard.",F001 visits to job-search sites=45 [own~27.50 max65] [peer~1 n91],F002 visits to leak-publication sites=0 [own~0 max0] ; F003 visits to cloud-storage sites=8 [own~8.50 max13] [peer~4 n91] ; F004 distinct web domains visited=65 [own~55 max59] [peer~72 n91] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n91] ; F006 days with recorded activity=5 [own~5 max5] [peer~5 n91] ; F007 hour of earliest logon in the week=7 ; F008 hour of latest logon in the week=8,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
107dcedee69e_s001,107dcedee69e,ACM2278,2010-W33,yes,R4,9,10,"ACM2278's week 2010-W33 activity is flagged due to evidence of atypical browsing to leak-publication sites, with 4 visits, which is a significant departure from their usual behavior over the past 12 weeks.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
107dcedee69e_s002,107dcedee69e,ACM2278,2010-W33,yes,R4,6,6,"Notably, this user's browsing to job-search sites is unusually high, with 25 visits, significantly above their peers' average of 1 visit.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,false precision,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,misweighted,"Misweighted: states job-search visits (context fact, F002=25, exactly at own-typical) as if atypical, using a peer comparison to manufacture apparent significance. Real evidence is F001 (leak-site visits)."
107dcedee69e_s003,107dcedee69e,ACM2278,2010-W33,yes,R4,5,6,The week in question was flagged due to ACM2278's (Allen Cruz Mccoy) unusual browsing behavior.,F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
107dcedee69e_s005,107dcedee69e,ACM2278,2010-W33,yes,R4,4,4,"This activity is not something we've seen from this user in the past 12 weeks, making it a notable anomaly.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
107dcedee69e_s004,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"The evidence points to four visits to leak-publication sites, which is atypical for a Salesman in the RegionalSales team.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,Main clause asserts evidence fact (F001) and all numbers trace to facts[]. Rule 1 fired.,,grounded,
107dcedee69e_s006,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"However, this activity is still within his typical range, suggesting that he may be looking for new job opportunities.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,hallucinated,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
107dcedee69e_s007,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"Overall, the unusual browsing behavior warrants further investigation to understand the motivations behind this activity.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,unverifiable,Sentence contains speculative/hedge language ('warrants further investigation'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,
107dcedee69e_s008,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"This anomaly is likely the most concerning aspect, as it suggests that the user may be searching for job opportunities or sharing sensitive information.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,unverifiable,Sentence contains speculative/hedge language ('may be'); neither matches nor contradicts any fact; rule 5 fired.,,unverifiable,Resolved after initial pass to close a slice-boundary gap in review.
107dcedee69e_s009,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"While they also visited job-search sites 25 times, this is actually within their usual range, and their activity in other areas, such as cloud-storage sites and web domains, was unremarkable.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
107dcedee69e_s010,107dcedee69e,ACM2278,2010-W33,yes,R4,1,1,"This week, user ACM2278 (Allen Cruz Mccoy) triggered rule R4, which flags browsing to job-search or leak-publication sites as atypical for their role.",F001 visits to leak-publication sites=4 [NEW: unseen in prior 12wk],F002 visits to job-search sites=25 [own~25 max42] [peer~1 n223] ; F003 visits to cloud-storage sites=11 [own~9.50 max12] ; F004 distinct web domains visited=55 [own~53 max59] [peer~59 n223] ; F005 distinct workstations used=1 [own~1 max1] [peer~1 n223] ; F006 days with recorded activity=6 [own~5 max5] [peer~5 n223] ; F007 hour of earliest logon in the week=2 ; F008 hour of latest logon in the week=21,grounded,"No rule fired: no unmatched numbers, no speculative language, no causal-context pattern, and no clear evidence-gloss assertion; needs full manual judgement.",,grounded,
